flaeche_km2,pop_insgesamt,pop_maennlich,pop_weiblich,pop_density,stadt_name,latitude,longitude
891.12,3782202,1860115,1922087,4244,Berlin,52.510885,13.3989367
755.09,1910160,936740,973420,2530,Hamburg,53.550341,10.000654
310.7,1510378,734925,775453,4861,München,48.1371079,11.5753822
405.02,1087353,527728,559625,2685,Köln,50.938361,6.959974
248.31,775790,382226,393564,3124,Frankfurt am Main,50.1106444,8.6820917
207.33,633484,316030,317454,3055,Stuttgart,48.7784485,9.1800132
217.41,631217,304616,326601,2903,Düsseldorf,51.2254018,6.7763137
297.8,619879,305443,314436,2082,Leipzig,51.3406321,12.3747329
280.71,595471,292178,303293,2121,Dortmund,51.5142273,7.4652789
210.34,586608,285411,301197,2789,Essen,51.4582235,7.0158171
318.2,577026,285270,291756,1813,Bremen,53.0758196,8.8071646
328.48,566222,281215,285007,1724,Dresden,51.0493286,13.7381437
204.3,548186,268214,279972,2683,Hannover,52.3744779,9.7385532
186.44,526091,257320,268771,2822,Nürnberg,49.453872,11.077298
232.84,503707,249120,254587,2163,Duisburg,51.434999,6.759562
145.66,366385,178896,187489,2515,Bochum,51.4818111,7.2196635
168.39,358938,176056,182882,2132,Wuppertal,51.264018,7.1780374
258.83,338410,163288,175122,1307,Bielefeld,52.0191005,8.531007
141.06,335789,160546,175243,2380,Bonn,50.7352621,7.1024635
303.28,322904,155052,167852,1065,Münster,51.9625101,7.6251879
144.97,316877,158281,158596,2186,Mannheim,49.4892913,8.4673098
173.42,309964,158520,151444,1787,Karlsruhe,49.0068705,8.4034195
146.85,303150,149531,153619,2064,Augsburg,48.3690341,10.8979522
203.87,285522,136598,148924,1401,Wiesbaden,50.0820384,8.2416556
170.47,268943,133625,135318,1578,Mönchengladbach,51.1947131,6.4353792
104.94,265885,132249,133636,2534,Gelsenkirchen,51.5110321,7.0960124
160.85,252769,132027,120742,1571,Aachen,50.776351,6.083862
192.7,252066,124898,127168,1308,Braunschweig,52.2646577,10.5236066
221.03,250681,123838,126843,1134,Chemnitz,50.8323531,12.918914
118.65,248873,120699,128174,2098,Kiel,54.3227085,10.135555
135.56,242172,117365,124807,1786,Halle (Saale),51.4824354,11.9712985
201.68,240114,118654,121460,1191,Magdeburg,52.1315889,11.6399609
